# our_file	upstream_file	status	notes
# STATUS VOCABULARY, added 2026-08-31. The tree had no definition of these words anywhere,
# which is how this column drifted; every status below carries its evidence in the notes.
#   transliterated  control flow, loop structure and arithmetic follow the upstream statement by
#                   statement. A reader could diff the two mentally. Syntax differs, program does not.
#   reimplemented   same algorithm and same observable semantics, materially different program: a
#                   different parallel decomposition, the host/device split moved, a reduction
#                   re-ordered or pinned, or an upstream cub/thrust/cuBLAS/raft call replaced by our
#                   own code.
#   partial         only some of the upstream file is present; the notes say what is missing.
#   no-upstream     nothing upstream corresponds to this file.
#
# THIS FILE DID NOT EXIST BEFORE 2026-08-31, while every mamba/impl/ __init__.mojo told its
# reader that "the upstream file and its pinned commit are recorded in this lane's
# DERIVATION_MAP.tsv". 2,916 lines under mamba/impl/ had no row anywhere.
#
# THREE upstreams, which is why the header names them per row:
#   transformers   d56c55bf564ddb176759eb6ec199442682564916, at
#                  ~/CascadeProjects/upstream/transformers. The BLOCK. Apache-2.0.
#                  Same pin transformer/DERIVATION_MAP.tsv names.
#   mamba          e9594ce1c732d97440f0332fdc43170a2294dbfa (state-spaces/mamba), at
#                  ~/CascadeProjects/upstream/mamba. The RECURRENCE and the DECODE step. Apache-2.0.
#   modular        10d978e3c783ef940d1d30d0a10852b69fe285c8 (modular/modular), at
#                  ~/CascadeProjects/upstream/modular. THE KERNEL SHAPE ONLY, never the rounding.
#                  Apache-2.0 with LLVM exceptions. This is the first row in the tree that cites it.
#
# The device spelling is profile mojolearn.identical.mamba1.fp32.v1 and its clause-by-clause
# authority is mamba/IDENTICAL_MAMBA_CONTRACT.md, which is FROZEN. Section 4's seam table decides
# every rounding and section 7's stage list decides every tag. The host oracle
# mamba/checks/mamba_oracle.mojo is the ANSWER bit for bit, and the device files are an
# INDEPENDENT transcription of the same order -- the two share only the seam functions.
#
# WHERE THE TWO REFERENCES DISAGREE, THE REFERENCE WINS AND THE FUSED KERNEL LOSES. At seam S8
# the CUDA kernel forms B * (delta * u) (csrc/selective_scan/selective_scan_fwd_kernel.cuh:162,
# :222) and MAX follows it (selective_scan.mojo:309, :321); selective_scan_ref pairs the other
# way and that is what is spelled here. A port that mirrored upstream's import-time branch would
# mirror a bitwise fork (DEVIATION 732).
#
# The four nn.Linear projections are NOT in this lane: cuBLAS upstream, gemm.fp32.v1 here
# (gemm/checks/gemm_identical.mojo, IDENTITY_PATHS row 40, gemm/DERIVATION_MAP.tsv).
#
# our_file paths are relative to mamba/.
# PORTED IS OURS. These files MIRROR upstream; the derivative-work language lives in NOTICE.
#   replaces-upstream -- THE UPSTREAM'S STEP WAS DELETED, NOT FOLLOWED. The
#                    file occupies an upstream file's slot and borrows its
#                    control plane, and its BODY is a different algorithm,
#                    stated in a numbered DEVIATION block in the file itself
#                    because PORTING_RULES.md rule 4 requires a replacement to
#                    live in the file it replaces so a reader can diff. These
#                    rows read `partial` or `transliterated` until 2026-08-31,
#                    which described the SLOT and not the CONTENT: a file whose
#                    own header says "there is no upstream GPU implementation
#                    of this formulation to be faithful to" is not a partial
#                    port of anything. Added when it turned out 31 files and
#                    34,945 lines were in that position.
impl/transformers/models/mamba/modeling_mamba.mojo	transformers src/transformers/models/mamba/modeling_mamba.py	replaces-upstream	ONE Mamba-1 block on the device, INFERENCE ONLY. Symbol by symbol, as the file's own table gives it: MambaRMSNorm.forward (:494-499) as mamba_rms_norm_kernel / mamba_rms_norm; causal_conv1d_fn, the TORCH FALLBACK (:81-101), as causal_conv1d_fn_kernel / causal_conv1d_fn; mamba_selective_scan, the torch fallback (:174-279); MambaMixer.forward (:359-482) as mamba_mixer_forward; MambaBlock.forward (:514-528) as mamba_block_forward. What is deliberately NOT here: the recurrence itself, because mamba_selective_scan is upstream's FALLBACK for selective_scan_fn and this file keeps that split, calling impl/mamba_ssm/ops/selective_scan_interface.mojo instead; and the four projections, which are gemm.fp32.v1. Everything else in their 1,000-plus-line module -- MambaForCausalLM, the LM head, MambaCache, the training path, MambaModel and every non-Mamba-1 variant -- is out of scope and absent. SEAM OWNERSHIP: S1-S4 (RMSNorm), S12 (the z gate), S13 (the conv tap chain), S14 (softplus), S15 (A = -exp(A_log)), S16 (the residual add) and the four S17 calls; S5-S11 belong to the scan file, which also EMITS the scan.y, skip.out and scan.h stages, so nothing here records them and identity_trace's tag-uniqueness invariant is the loud failure that keeps the split honest. DEVIATION 725: upstream is torch ops over whole tensors, so THERE IS NO UPSTREAM KERNEL DECOMPOSITION TO MIRROR for the elementwise seams; the plan here is one thread per output cell for every seam, and no float crosses a thread boundary anywhere in the file -- no shared memory, no warp primitive, no atomic, no cross-block reduction -- which makes contract clauses 8(b) launch invariance and 8(c) batch-composition invariance properties of the kernel SHAPE rather than of a check that happens to pass. The RMSNorm fold is one thread per token row (contract S1, no block fold) and the conv is one thread per (batch, channel) walking l ascending, which is MAX's causal_conv1d.mojo:188-205 shape and the CUDA causal_conv1d kernel's. DEVIATIONS 726-731 are the file's own; 720, 721 (the conv bias SEED) belong to the oracle and the contract, and 722, 723 to the scan file, cited here and not renumbered || REPLACES-UPSTREAM (was `partial`): this file's own header states the upstream has no counterpart for what it does; see its DEVIATION blocks
impl/mamba_ssm/ops/selective_scan_interface.mojo	mamba mamba_ssm/ops/selective_scan_interface.py	partial	selective_scan_ref (:127-193) ONLY, which is seams S5 to S11 plus the D skip. THE ARITHMETIC AND ITS ROUNDING ORDER ARE THIS FILE'S UPSTREAM; the kernel shape is the row below and is a different repository. Argument ORDER and NAMES are upstream's -- (u, delta, A, B, C, D, z, delta_bias, delta_softplus, return_last_state), :127-128 -- with the outputs moved to the front because the device kernel shape does that. Layouts are mamba/checks/mamba_oracle.mojo's, which is the INTERFACE AUTHORITY; this file invents no convention beside it. DEVIATION 723: z, delta_bias, delta_softplus=True and return_last_state=False are REFUSED BY NAME rather than implemented, on the same principle the block file refuses to compute S11 twice -- a seam with two spellings is a seam with two places to drift. NOT PORTED and absent: SelectiveScanFn's autograd wrapper and its backward, mamba_inner_fn and mamba_inner_ref, the varlen paths, and the fused-kernel import branch (DEVIATION 732)
impl/mamba_ssm/ops/selective_scan_interface.mojo	modular max/kernels/src/state_space/selective_scan.mojo	reimplemented	THE KERNEL SHAPE ONLY, and explicitly not the arithmetic. selective_scan_fwd_gpu (:74-105): one thread per (batch, dim) pair, serial over the sequence, DSTATE = 16 held in registers, outputs before inputs in the signature. DEVIATION 722 records what of that kernel is taken and what is refused. WHAT IS REFUSED IS ITS ROUNDING: MAX follows the CUDA kernel and forms delta * u then B * delta_u (:309, :321), while this file follows selective_scan_ref and pairs (delta * B) * u. Two sources, and where they disagree the reference wins -- which is the reason this is a second row rather than a parenthesis on the first
impl/mamba_ssm/modules/mamba_simple.mojo	mamba mamba_ssm/modules/mamba_simple.py	partial	Mamba.step (:208-253) and Mamba.allocate_inference_cache (:255-266) only: the DECODE half of the profile, one token at a time, carrying the two pieces of recurrent state their step carries (the conv WINDOW of the last d_conv = 4 inputs oldest first, and the SSM state h, both zeros before the first token). Mamba.__init__, Mamba.forward and the whole prefill path are NOT here -- prefill is modeling_mamba.mojo, and this file is NOT a second copy of the block's arithmetic: contract section 5 says prefill and decode are bit-identical BY CONSTRUCTION, so mamba_step reads as their step reads but every seam it reaches is the block spelling at l = 1, and the only arithmetic written longhand here is the sabotage arm. DEVIATION 732: their :215 and :238 select at import time between a torch fallback and a fused CUDA kernel, and the two do NOT agree bitwise, so this file has ONE arm and the name causal_conv1d_update appears nowhere in it. DEVIATION 721, THE BIAS SEED, and it is the one place in this lane where do-what-they-do is not available because there is no single thing they do: their step (:218-220) sums the conv taps and adds conv1d.bias AFTER, while the prefill kernels SEED the accumulator with it (MAX causal_conv1d.mojo:190-205 and the CUDA causal_conv1d kernel likewise), so the reference's own two paths disagree with each other. The profile takes the SEED on both paths, at the narrowest possible width -- tap order, fusion and the flush at every seam are unchanged -- and conv_step_upstream_bias_last is kept as their :218-220 order, as the sabotage arm that must FAIL. DEVIATION 733: the window roll is OUT OF PLACE where their :216-217 roll and assign in place
__init__.mojo	none	no-upstream	Mojo package marker, 2 to 3 lines, no ported code. Upstream's own __init__.py files are re-export lists and none of their text is here, so nothing upstream corresponds to this file. It names the mirrored directory (the lane root) and carries the lane's SPDX and NOTICE header, which is this repository's text
impl/__init__.mojo	none	no-upstream	Mojo package marker, 2 to 3 lines, no ported code. Upstream's own __init__.py files are re-export lists and none of their text is here, so nothing upstream corresponds to this file. It names the mirrored directory (the derived-work subtree) and carries the lane's SPDX and NOTICE header, which is this repository's text
impl/mamba_ssm/__init__.mojo	none	no-upstream	Mojo package marker, 2 to 3 lines, no ported code. Upstream's own __init__.py files are re-export lists and none of their text is here, so nothing upstream corresponds to this file. It names the mirrored directory (state-spaces/mamba mamba_ssm/) and carries the lane's SPDX and NOTICE header, which is this repository's text
impl/mamba_ssm/modules/__init__.mojo	none	no-upstream	Mojo package marker, 2 to 3 lines, no ported code. Upstream's own __init__.py files are re-export lists and none of their text is here, so nothing upstream corresponds to this file. It names the mirrored directory (state-spaces/mamba mamba_ssm/modules/) and carries the lane's SPDX and NOTICE header, which is this repository's text
impl/mamba_ssm/ops/__init__.mojo	none	no-upstream	Mojo package marker, 2 to 3 lines, no ported code. Upstream's own __init__.py files are re-export lists and none of their text is here, so nothing upstream corresponds to this file. It names the mirrored directory (state-spaces/mamba mamba_ssm/ops/) and carries the lane's SPDX and NOTICE header, which is this repository's text
impl/transformers/__init__.mojo	none	no-upstream	Mojo package marker, 2 to 3 lines, no ported code. Upstream's own __init__.py files are re-export lists and none of their text is here, so nothing upstream corresponds to this file. It names the mirrored directory (transformers src/transformers/) and carries the lane's SPDX and NOTICE header, which is this repository's text
