# theirs	status	why / where it would go
# An HONEST list, not a short one. Everything in the six upstream files that this lane does not carry, one line each. "REFUSED BY NAME" means arima_common.mojo::validate_order or batched_arima.mojo raises with the reason and a pointer to this file, so no caller can silently take an unported path.
cuml batched_kalman.cu / batched_arima.cu instantiated on `double` only; arima.pyx:326 checks the input to float64	NOT PORTED, refused by dtype	Metal exposes no Float64 on the device (mojolearn-hardware-limits, IDENTITY_PATHS row 1). DEVIATION 670. A Float64 HOST reference (kalman_host_f64) is carried beside the Float32 device path so the gap is measured rather than assumed
batched_kalman.cu _batched_kalman_device_loop_large_kernel / _batched_kalman_device_loop_large and the KalmanLoopSharedMemory union (:335-745), plus everything in cpp/src_prims/linalg/block.cuh they call (BlockGemmPolicy, BlockGevmPolicy, BlockPolicy, the block-wide reductions)	NOT PORTED, REFUSED BY NAME (rd > 8)	This is their block-per-series arm, taken when rd = d + s*D + max(p + s*P, q + s*Q + 1) > 8. It is a different fold shape, not a different algorithm, and porting it means porting block.cuh's cooperative reductions. rd <= 8 is the one-thread-per-series arm and is what this lane carries
batched_kalman.cu b_lyapunov's Hessenberg / Francis-QR / trsyl Schur path (matrix.cuh:1899-1948) taken by _lyapunov_wrapper when r > 5	NOT PORTED, REFUSED BY NAME (r > 5)	The direct Kronecker solve is the r <= 5 arm and is what this lane carries. Their own comment (matrix.cuh:1892-1893) says the single-precision direct solver "is not good, use double", which is DEVIATION 670's cost and is measured by check_lyapunov_solves_the_equation against the equation itself
exogenous regressors everywhere: ARIMAParams::beta, ARIMAOrder::n_exog, d_exog / d_exog_fut, obs_intercept and obs_intercept_fut, the two cublasgemmStridedBatched calls at batched_kalman.cu:930-972, the `d_obs_inter` additions inside the loop kernel and the forecast, prepare_future_data and _future_diff_kernel / _future_second_diff_kernel (arima_helpers.cuh:73-119, :262-292), and exog_diff in predict	NOT PORTED, REFUSED BY NAME (n_exog != 0)	A second closed cuBLAS batched gemm plus a whole second differencing path. Nothing in the exog arms changes a bit of the no-exog arms, so refusing at the surface leaves the ported path exactly theirs
batched_kalman.cu confidence_intervals kernel (:824-838), the `level > 0` plumbing, d_F_fc, d_lower, d_upper, the conf_int block inside the forecast loop that propagates P = T P T' + RR' and records b_F_fc, and the host-side sqrt(2) * erfinv(level)	NOT PORTED, REFUSED BY NAME (level is not a parameter)	erfinv is a host transcendental whose last bit is the vendor's, and the P propagation inside the forecast is a second fold shape reached only when conf_int is true. predict is offered with level = 0 only, which is what their `diff` flag already requires (predict:104, `diff = need_diff && pre_diff && level == 0`)
batched_kalman.cu the MISSING-OBSERVATION arms: `missing = isnan(yt)` (:191) and the four branches it guards (:193, :219, :236, :246), and batched_arima.cu detect_missing / is_missing (:73-85)	NOT PORTED, REFUSED BY NAME (non-finite input)	NaN MEANS missing there. Missing observations are not ported, so a non-finite input is refused by name with its index rather than silently taking an arm nothing gates. An unreached branch is an unchecked one, PORTING_RULES 8. ADDENDUM 11
batched_kalman.cu MM_l's `aT` template parameter (:57, `A[k + i*n]`)	NOT PORTED, no instantiation reaches it	Every call site in batched_kalman.cu is MM_l<false, false> or MM_l<false, true>. The aT read is dead code in their build too; offering it here would be an ungated branch
batched_arima.cu conditional_sum_of_squares (:349-391) and sum_of_squares_kernel (:271-335), the CSS log-likelihood method, and the `truncate` parameter	NOT PORTED, REFUSED BY NAME (only MLE is offered)	A different estimator, not a different backend: a shared-memory warp reduction over the residual sum of squares with its own fold. It shares no stage with the Kalman path, so it is a separate rung, not a branch of this one
batched_arima.cu information_criterion (:592-618) and the AIC / AICc / BIC arms	NOT PORTED	Order selection, which is auto_arima's rung (rung 3 of the ladder), not the filter's. It reads only the log-likelihood this lane already produces
batched_arima.cu estimate_x0 (:948-1008), _start_params (:845-946), _arma_least_squares (:664-839), test_invparams (:628-657)	PORTED 2026-09-01	arima/impl/arima/estimate_x0.mojo. The row this replaces said NOT PORTED and gave the reason as "the parameters this lane filters with are handed in, so x0 is the optimizer's rung and not reached". Both halves are now false. The `b_gels` underneath is cuBLAS gelsBatched and is CLOSED, which is a reason to WRITE the routine (DEVIATION 678, a Householder QR in arima/impl/linalg/batched/least_squares.mojo) and not a reason to refuse the capability. NOT carried from this chain: _start_params' order.n_exog > 0 block (:857-931), unreachable because exog is refused for the whole lane; estimate_x0's `missing` / fillna arm (:975-983), unreachable because a non-finite y is refused by name
batched_arima.cu d_y_p[0] = 0.0 (:207)	NOT PORTED, THEIR DEFECT	It is the first statement of the per-series lambda and writes element 0 of the WHOLE output, from every one of batch_size threads. Thread 0 writes the real d_y_p[0] later inside its own loop, but threads bid > 0 are unordered against it and any of them can land its 0.0 afterwards, so d_y_p[0] can come back 0.0 instead of the prediction or the NaN sentinel for any batch of more than one series. A genuine data race with an observable result. assume-our-code-is-broken says fix their bug rather than mirror it; the fix is to not write the cell
matrix.cuh Matrix<T> itself (:100-500): the arena over cuBLAS handles, reshape, the batched-pointer array, operator+ / operator- / operator*, b_solve, and the non-static inv()	NOT MIRRORED	Every buffer it manages is a DeviceBuffer owned by the struct that uses it. Their reshape between (r,r) and (r2,1) inside _direct_lyapunov_helper is a view change with no arithmetic and is folded into the index expressions here
matrix.cuh b_gels (:644-669) and b_lagged_mat (:914-947, :960-975) as GENERAL routines; b_2dcopy (:1035) as a standalone; b_kron's general shapes; b_gemm's general aT / bT / alpha / beta	PARTIALLY REPLACED, DEVIATION 678	The b_gemm shapes _batched_kalman_filter calls are written out under DEVIATION 674; the two gemv shapes _arma_least_squares calls are written out under the same rule inside arma_least_squares_kernel. b_gels is REPLACED by householder_qr_solve (DEVIATION 678) rather than ported, because cublasgelsBatched is closed: only the CONTRACT is inherited (non-transpose, m > n, A copied, the solution in the first n rows of C, one info per problem). b_lagged_mat is not a standalone function here: it is a copy with no arithmetic, and its two call sites are folded into the indexed reads that build the design matrix, with the upstream line cited at each. b_2dcopy is folded into the reads it feeds. THE UPDATED ROW: the old one said "b_gels and b_lagged_mat belong to estimate_x0, which is unported"; estimate_x0 is ported
matrix.cuh the `info` array from cublasgetrfBatched / cublasgetriBatched	REPLACED, DEVIATION 674	Theirs computes it at batched_kalman.cu:1088-1089 and matrix.cuh:1876 and NEVER CHECKS it, so a singular I - T (x) T produces an unusable P0 silently. Ours returns it from lu_inverse and the host raises by name with the failing column
cuBLAS getrf / getri / gemm themselves	REPLACED, DEVIATION 674	Closed calls with no MAX equivalent for a batched LU. Their association order and their pivot tie rule are not readable from source, so the spelling here is chosen and written down rather than inherited: pivot = FIRST index of the strictly largest magnitude in the column (a strict `>` scan, so no signed zero can displace the other), row swap, L column = a / pivot, trailing update fma(-l, u, a), then the inverse column by column by permuted forward and backward substitution, serial ascending. That the tie rule is OURS and not theirs is exactly why sabotage (e) in SABOTAGES.md perturbs it
jones_transform.cuh raft::copy(newParams, params, nElements) before the kernel launch (:169)	NOT ISSUED, verified no-op	The kernel writes all `parameter` cells for every model < batchSize, and nElements is batchSize * parameter, so every copied cell is overwritten before it is read. Recorded rather than dropped silently
raft::signPrim (raft/util/cuda_utils.cuh:559-573)	PORTED, and the generic template is a TRAP	The GENERIC template is `x < 0 ? -1 : +1`, which returns +1 for -0.0. The float and double SPECIALIZATIONS at :564 and :569 are `signbit(x) ? -1 : +1`, which returns -1. cuML instantiates on double, so the specialization is what runs and signbit is the correct port. Written down because reading the generic template first is how this gets "fixed" into a bug
