# CatBoost files and symbols this section deliberately does NOT port, and why.
# A file absent from both this list and DERIVATION_MAP.tsv has simply not been
# looked at, which is a different and worse state. Keep both complete.
# their_file	symbol	why_not_ported
catboost/cuda/targets/kernel/multilogit.cu	RMSEWithUncertaintyValAndFirstDerImpl / SecondDerRow	a different ELossFunction; its dispatch is not reached
catboost/cuda/targets/kernel/multilogit.cu	MultiCrossEntropyValueAndDerImpl / SecondDerImpl	MultiCrossEntropy is not among the losses this port trains
catboost/cuda/targets/kernel/multilogit.cu	MultiRMSEValueAndDerImpl / SecondDerImpl	MultiRMSE is not among the losses this port trains
catboost/cuda/targets/kernel/multilogit.cu	BuildConfusionMatrixBinsImpl	a METRIC kernel; this port has no metric path
catboost/cuda/targets/kernel/pointwise_targets.cu	TNumErrorsMetric	in their kernel switch, but their own Init rejects it, so training cannot reach it
catboost/cuda/targets/kernel/pointwise_targets.cu	MseImpl / MseTargetKernel	UNREACHED IN THEIR OWN TREE: ApproximateMse has no caller anywhere in catboost/
catboost/cuda/cuda_util/kernel/bootstrap.cu	GammaBootstrapImpl	its only call is commented out in their own file (:82)
catboost/cuda/cuda_util/kernel/segmented_sort.cu	SortPairsDescending arm	ComputeWeightedQuantile passes compareGreater=false; a branch no caller reaches
catboost/cuda/methods/leaves_estimation/leaves_estimation_helper.h	MakeSupportPairsMatrix / ReorderPairs / FilterZeroLeafBins	pairwise and groupwise oracles, which are not ported
catboost/cuda/targets/kernel/	pair_logit.cu, query_rmse.cu, query_softmax.cu, yeti_rank_pointwise.cu, pfound_f.cu, query_cross_entropy.cu, dcg.cu	the querywise/ranking family; needs group_id in the pool, which the data layout does not carry
catboost/libs/overfitting_detector/overfitting_detector.cpp	TOverfittingDetectorWilcoxon	needs NStatistics::Wilcoxon from library/cpp/statistics, outside catboost/; nothing this port runs selects it
catboost/cuda/methods/kernel/pointwise_hist1.cu	ComputeHist1 (and TComputeHist1Kernel in pointwise_kernels.{h,cpp})	DEAD IN THE UPSTREAM: the kernel is registered and dispatched, and no .cpp/.h/.cuh anywhere in the CatBoost tree calls it -- verified 2026-08-21 at 54a8143a. See archive/reference/PORTING.md 91 D.
